epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3856.25,0.75105,0.95793,0.67842,0.93764,0.95087,0.93435,0.97711,0.83485,0.95149,0.93498,0.97712,0.82255,0.6601,0.8844,0.5228,0.90682,0.005941,0.005941,0.005941
43,3938.53,0.759,0.97232,0.63302,0.9324,0.94249,0.92891,0.96441,0.82863,0.94249,0.92891,0.96441,0.81493,0.6674,0.91387,0.53602,0.91376,0.005842,0.005842,0.005842
44,4019.97,0.71959,0.91218,0.64023,0.92931,0.92797,0.97863,0.98074,0.85198,0.92797,0.97863,0.98119,0.82492,0.64922,0.88942,0.50423,0.90116,0.005743,0.005743,0.005743
45,4102.65,0.72344,0.90631,0.65439,0.9331,0.95959,0.96571,0.97997,0.84992,0.95959,0.96571,0.97997,0.83382,0.64819,0.88501,0.48537,0.89981,0.005644,0.005644,0.005644
46,4185.86,0.71107,0.90885,0.60356,0.91641,0.96366,0.96517,0.98457,0.86269,0.96226,0.9653,0.98465,0.8424,0.62231,0.86305,0.47353,0.8927,0.005545,0.005545,0.005545
47,4268.4,0.7028,0.90754,0.59188,0.91309,0.96046,0.95974,0.97895,0.85133,0.96025,0.96025,0.97898,0.83883,0.62835,0.86444,0.48023,0.89902,0.005446,0.005446,0.005446
48,4350.24,0.6911,0.90332,0.58202,0.92615,0.95926,0.96257,0.97667,0.84804,0.95926,0.96257,0.97668,0.84029,0.63856,0.856,0.47568,0.8981,0.005347,0.005347,0.005347
49,4433.3,0.67837,0.88157,0.59502,0.90491,0.94483,0.97828,0.98302,0.86759,0.94483,0.97828,0.98302,0.84347,0.61603,0.84288,0.47592,0.88819,0.005248,0.005248,0.005248
50,4515.92,0.68555,0.90476,0.59294,0.90938,0.95297,0.97542,0.98567,0.86092,0.95297,0.97542,0.98567,0.83095,0.62236,0.87384,0.47737,0.89062,0.005149,0.005149,0.005149
51,4597.6,0.67465,0.85377,0.58877,0.90794,0.95904,0.96569,0.9837,0.85199,0.95904,0.96569,0.9837,0.83589,0.63826,0.86391,0.48144,0.89978,0.00505,0.00505,0.00505
52,4679.9,0.71063,0.87601,0.57817,0.91152,0.93104,0.95488,0.96932,0.85037,0.93104,0.95488,0.96932,0.82126,0.61474,0.87253,0.47333,0.8889,0.004951,0.004951,0.004951
53,4764.67,0.69055,0.90476,0.57317,0.9025,0.94325,0.94411,0.97322,0.84681,0.94325,0.94411,0.97322,0.8304,0.6137,0.85608,0.48409,0.88817,0.004852,0.004852,0.004852
54,4848.48,0.68923,0.84055,0.57176,0.90395,0.95811,0.96519,0.97903,0.84982,0.95811,0.96519,0.97903,0.83881,0.62329,0.84284,0.47392,0.88979,0.004753,0.004753,0.004753
55,4932.24,0.69177,0.87681,0.57485,0.90459,0.93436,0.97584,0.98065,0.85525,0.93436,0.97584,0.98065,0.84075,0.61531,0.85026,0.4709,0.89028,0.004654,0.004654,0.004654
56,5014.45,0.69648,0.87131,0.5674,0.90371,0.95613,0.97699,0.98304,0.85034,0.95613,0.97699,0.98304,0.84255,0.63092,0.8426,0.47149,0.8934,0.004555,0.004555,0.004555
57,5114.47,0.69133,0.87781,0.56763,0.92535,0.96683,0.98014,0.98522,0.84434,0.96683,0.98014,0.98522,0.82512,0.65004,0.85496,0.46445,0.90102,0.004456,0.004456,0.004456
58,5207.4,0.65496,0.83557,0.54202,0.9006,0.96868,0.97744,0.98486,0.86648,0.96868,0.97744,0.98486,0.84547,0.61071,0.83108,0.453,0.88691,0.004357,0.004357,0.004357
59,5301.6,0.65276,0.83502,0.53581,0.90055,0.96515,0.97698,0.98663,0.87174,0.96515,0.97698,0.98663,0.85131,0.59821,0.83454,0.44129,0.8833,0.004258,0.004258,0.004258
60,5395.61,0.66972,0.89326,0.54017,0.90837,0.96221,0.98041,0.98658,0.87886,0.96221,0.98041,0.98658,0.8591,0.58693,0.82776,0.42314,0.88198,0.004159,0.004159,0.004159
61,5489.96,0.66787,0.8712,0.54816,0.89739,0.95404,0.97184,0.97781,0.86455,0.95404,0.97184,0.97781,0.84822,0.59846,0.83712,0.43329,0.88167,0.00406,0.00406,0.00406
62,5583.61,0.652,0.84569,0.54144,0.90493,0.96434,0.95594,0.9677,0.85812,0.96434,0.95594,0.9677,0.83973,0.58454,0.82556,0.44566,0.87735,0.003961,0.003961,0.003961
63,5677.97,0.68742,0.91599,0.557,0.91501,0.94855,0.9639,0.9697,0.84802,0.94855,0.9639,0.9697,0.83716,0.6245,0.84565,0.46505,0.88379,0.003862,0.003862,0.003862
64,5771.11,0.65754,0.85534,0.51193,0.89182,0.96216,0.96858,0.98237,0.87196,0.96216,0.96858,0.98237,0.85067,0.59737,0.83047,0.42367,0.87959,0.003763,0.003763,0.003763
65,5865.18,0.64933,0.85965,0.51697,0.89663,0.95891,0.97119,0.98025,0.86444,0.95891,0.97119,0.98025,0.85306,0.60726,0.81965,0.43503,0.87606,0.003664,0.003664,0.003664
66,5959.39,0.67854,0.88317,0.53549,0.89543,0.95739,0.97593,0.98312,0.86692,0.95739,0.97593,0.98312,0.86206,0.61008,0.81014,0.44533,0.87815,0.003565,0.003565,0.003565
67,6054.24,0.65977,0.8317,0.51781,0.88654,0.96115,0.98812,0.98996,0.88047,0.96115,0.98812,0.98996,0.86151,0.59626,0.83671,0.42226,0.88124,0.003466,0.003466,0.003466
68,6146.39,0.66649,0.88034,0.53958,0.90606,0.96352,0.97762,0.98787,0.88447,0.96352,0.97762,0.98787,0.85885,0.59287,0.81127,0.43862,0.87875,0.003367,0.003367,0.003367
69,6239.01,0.65713,0.87904,0.53685,0.90604,0.95748,0.97748,0.9877,0.88476,0.95748,0.97748,0.9877,0.862,0.56671,0.8198,0.41887,0.87143,0.003268,0.003268,0.003268
70,6332.5,0.65518,0.82844,0.52964,0.89956,0.95204,0.98173,0.98593,0.867,0.95204,0.98173,0.98593,0.85097,0.60416,0.82116,0.41697,0.88273,0.003169,0.003169,0.003169
71,6424.25,0.61878,0.83037,0.50653,0.88939,0.95487,0.97567,0.98795,0.88173,0.9521,0.97945,0.98795,0.85935,0.5814,0.81664,0.40974,0.87407,0.00307,0.00307,0.00307
72,6510.6,0.62935,0.81052,0.50552,0.89398,0.95478,0.98083,0.98872,0.88802,0.95478,0.98083,0.98872,0.86034,0.56058,0.80119,0.40405,0.86788,0.002971,0.002971,0.002971
73,6596.96,0.60641,0.81014,0.49612,0.88197,0.96398,0.97919,0.9875,0.8857,0.96398,0.97919,0.9875,0.85657,0.56799,0.81119,0.39507,0.8709,0.002872,0.002872,0.002872
74,6684.81,0.61463,0.81683,0.50203,0.87938,0.96366,0.97991,0.98913,0.88385,0.96366,0.97991,0.98913,0.86207,0.56953,0.7964,0.39653,0.8702,0.002773,0.002773,0.002773
